SIBOR DATE,SIBOR 1M,SIBOR 3M,SIBOR 6M,SIBOR 12M,SOR ON,SOR 1M,SOR 3M,SOR 6M
2/1/14,0.35369,0.40267,0.48191,0.59728,0.04964,0.15485,0.22406,0.28566
3/1/14,0.35057,0.40267,0.48191,0.59728,0.06086,0.14516,0.21618,0.28373
6/1/14,0.3552,0.40361,0.48191,0.59728,0.00742,0.15168,0.21708,0.28373
7/1/14,0.3552,0.40361,0.48191,0.59728,-0.02376,0.14648,0.21829,0.2874
8/1/14,0.3552,0.40461,0.48191,0.59728,-0.01223,0.14648,0.2198,0.28823
9/1/14,0.3552,0.40461,0.48191,0.59728,-0.01825,0.1465,0.21878,0.2866
10/1/14,0.3552,0.4046,0.48191,0.59727,-0.00827,0.13481,0.21787,0.28236
13/1/14,0.3552,0.40461,0.48191,0.59728,0.12971,0.15278,0.21653,0.28137
14/1/14,0.3552,0.40461,0.48191,0.59728,0.04889,0.1455,0.21653,0.28137
15/1/14,0.3552,0.40503,0.48191,0.59728,0.0242,0.1455,0.21776,0.2792
16/1/14,0.3552,0.40503,0.48191,0.59728,0.013,0.14202,0.21734,0.28252
17/1/14,0.3552,0.40503,0.48191,0.59728,0.09236,0.14797,0.22061,0.28842
20/1/14,0.3552,0.40503,0.48191,0.59728,0,0.15051,0.22061,0.29286
21/1/14,0.3552,0.40503,0.48191,0.59728,0.06679,0.15024,0.22111,0.28647
22/1/14,0.3552,0.40503,0.48191,0.59728,0.04161,0.14637,0.22452,0.28596
23/1/14,0.3552,0.40503,0.48191,0.59728,0.04955,0.14732,0.22061,0.28951
24/1/14,0.3552,0.40503,0.48191,0.59728,0.05286,0.14042,0.21767,0.28471
27/1/14,0.3552,0.40503,0.48191,0.59728,0.00786,0.1438,0.21767,0.28471
28/1/14,0.3552,0.40503,0.48191,0.59728,0.06569,0.14889,0.2163,0.28771
29/1/14,0.3552,0.40503,0.48191,0.59728,0.01285,0.15564,0.21523,0.28687
30/1/14,0.3552,0.40503,0.48191,0.59728,0.06082,0.15564,0.21523,0.29262
3/2/14,0.3552,0.40503,0.48191,0.59728,-0.02501,0.13886,0.21318,0.29262
4/2/14,0.3552,0.40503,0.48191,0.59728,-0.03569,0.13886,0.209,0.28233
5/2/14,0.3552,0.40503,0.48191,0.59728,-0.05,0.12374,0.2055,0.27394
6/2/14,0.3552,0.40503,0.48191,0.59728,-0.06629,0.12904,0.21131,0.27972
7/2/14,0.3552,0.40503,0.48191,0.59728,-0.04344,0.13209,0.20831,0.27599
10/2/14,0.3552,0.40503,0.48191,0.59728,-0.0188,0.13122,0.20761,0.27599
11/2/14,0.3552,0.40503,0.48191,0.59728,-0.00822,0.13276,0.21431,0.27931
12/2/14,0.35457,0.40303,0.48191,0.59528,-0.00059,0.13101,0.21288,0.28095
13/2/14,0.35459,0.40303,0.48141,0.5948,0.01417,0.13613,0.21083,0.28063
14/2/14,0.3543,0.40303,0.48141,0.5948,0.0941,0.13613,0.21361,0.27524
17/2/14,0.35534,0.40303,0.48141,0.5948,0,0.13493,0.2123,0.27524
