Month,Value
1961-01-01,24.542
1961-02-01,24.565
1961-03-01,24.585
1961-04-01,24.187
1961-05-01,24.053
1961-06-01,24.223
1961-07-01,24.276
1961-08-01,24.517
1961-09-01,24.393
1961-10-01,24.463
1961-11-01,24.521
1961-12-01,24.487
1962-01-01,24.642
1962-02-01,24.78
1962-03-01,24.425
1962-04-01,24.303
1962-05-01,24.327
1962-06-01,24.442
1962-07-01,24.499
1962-08-01,24.424
1962-09-01,24.523
1962-10-01,24.469
1962-11-01,24.627
1962-12-01,24.696
1963-01-01,25.17
1963-02-01,25.354
1963-03-01,24.879
1963-04-01,24.63
1963-05-01,24.756
1963-06-01,24.832
1963-07-01,24.764
1963-08-01,24.825
1963-09-01,24.934
1963-10-01,25.525
1963-11-01,25.34
1963-12-01,25.386
1964-01-01,25.541
1964-02-01,25.637
1964-03-01,25.545
1964-04-01,25.209
1964-05-01,25.213
1964-06-01,25.137
1964-07-01,25.257
1964-08-01,25.674
1964-09-01,25.606
1964-10-01,25.444
1964-11-01,25.429
1964-12-01,25.68
1965-01-01,25.742
1965-02-01,25.661
1965-03-01,25.491
1965-04-01,25.122
1965-05-01,25.32
1965-06-01,25.412
1965-07-01,25.256
1965-08-01,25.411
1965-09-01,25.494
1965-10-01,25.564
1965-11-01,25.747
1965-12-01,25.937
1966-01-01,26.251
1966-02-01,26.01
1966-03-01,25.803
1966-04-01,25.901
1966-05-01,25.849
1966-06-01,25.923
1966-07-01,26.018
1966-08-01,26.199
1966-09-01,26.042
1966-10-01,25.886
1966-11-01,26.145
1966-12-01,26.306
1967-01-01,26.704
1967-02-01,26.72
1967-03-01,26.583
1967-04-01,26.171
1967-05-01,26.406
1967-06-01,26.711
1967-07-01,27.08
1967-08-01,26.967
1967-09-01,27.175
1967-10-01,27.076
1967-11-01,27.329
1967-12-01,27.569
1968-01-01,27.588
1968-02-01,27.281
1968-03-01,27.183
1968-04-01,27.12
1968-05-01,26.832
1968-06-01,26.832
1968-07-01,26.969
1968-08-01,27.179
1968-09-01,27.019
1968-10-01,26.972
1968-11-01,26.902
1968-12-01,26.817
1969-01-01,26.843
1969-02-01,26.793
1969-03-01,26.936
1969-04-01,26.839
1969-05-01,27.1
1969-06-01,26.962
1969-07-01,26.884
1969-08-01,27.01
1969-09-01,27.04
1969-10-01,26.847
1969-11-01,27.118
1969-12-01,27.496
1970-01-01,27.104
1970-02-01,27.224
1970-03-01,26.889
1970-04-01,26.931
1970-05-01,26.949
1970-06-01,26.914
1970-07-01,27.181
